tieu_de,gia,gia_hien_thi,gia_m2,dien_tich,huong_nha,huong_ban_cong,noi_that,phap_ly,ten_du_an,so_phong,so_wc,duong,phuong,quan,thanh_pho,latitude,longitude,khoang_cach_q1_km,ngay_dang,nguoi_ban,loai_tin,link
CHÍNH CHỦ BÁN CĂN HỘ 3PN-2WC (CÓ SỔ) AKARI GD 2 VÕ VĂN KIỆT - BÌNH TÂN,5600000000,"5,6 tỷ",60.215054,93.0,,6.0,3.0,6,,3,2.0,Đường Võ Văn Kiệt,,Quận Bình Tân,Tp Hồ Chí Minh,10.765258,106.60385,10.61,2025-12-23,Dân,s,https://www.chotot.com/129517620.htm
BÁN CĂN 2PN ORI CÓ ĐỦ NỘI THẤT ĐẸP HƯỚNG MÁT VINHOMES Q9,3100000000,"3,1 tỷ",52.542374,59.0,5.0,6.0,1.0,6,The Origami – Vinhomes Grand Park,2,2.0,Nguyễn Xiển,Phường Long Thạnh Mỹ (Quận 9 cũ),Thành phố Thủ Đức,Tp Hồ Chí Minh,10.8454,106.81972,15.16,2025-12-23,Nông Hoàng Ngọc Viễn,s,https://www.chotot.com/126451558.htm
"Chính chủ bán CH cc Conic Đông Nam Á 107,4 m2, 2PN, 2WC, NT đủ, svườn",3250000000,"3,25 tỷ",30.260708,107.4,,,2.0,6,Conic Đông Nam Á,2,,Nguyễn Văn Linh,Xã Bình Hưng,Huyện Bình Chánh,Tp Hồ Chí Minh,10.72615,106.66785,6.56,2025-12-23,Đặng Liên,s,https://www.chotot.com/129863482.htm
"Bán căn hộ Lavida Plus tầng 27 nội thất cao cấp mới tinh, vào ở ngay",6350000000,"6,35 tỷ",79.2761,80.0998,8.0,5.0,1.0,5,Lavida Plus,2,2.0,Nguyễn Văn Linh,Phường Tân Phong,Quận 7,Tp Hồ Chí Minh,10.72905,106.70349,5.19,2025-12-23,Hao Anthi,s,https://www.chotot.com/129764563.htm
"Căn Hộ Diamond Alnata Plus, Celadon City, 85m2, 2pn 2wc, View Đông Nam",7100000000,"7,1 tỷ",83.52941,85.0,,,1.0,5,,2,2.0,Đường N1,Phường Sơn Kỳ,Quận Tân Phú,Tp Hồ Chí Minh,10.804474,106.62071,9.28,2025-12-23,Mr. Tùng,s,https://www.chotot.com/129517149.htm
CHÍNH CHỦ BÁN CĂN HỘ 2PN - 2WC 80M2 AKARI GIAI ĐOẠN 2 VÕ VĂN KIỆT,4450000000,"4,45 tỷ",55.625,80.0,,5.0,3.0,2,,2,2.0,Đường Võ Văn Kiệt,,Quận Bình Tân,Tp Hồ Chí Minh,10.765258,106.60385,10.61,2025-12-23,Dân,s,https://www.chotot.com/129516013.htm
"Chỉ 764tr (63m2) - 840tr (68m2) Green Town block B1,giá gốc CĐT, CK 4%",2400000000,"2,4 tỷ",38.095238,63.0,,,,5,Green Town Bình Tân,2,2.0,Bình Hưng Hòa B,Phường Bình Hưng Hoà B,Quận Bình Tân,Tp Hồ Chí Minh,10.79995,106.5832,13.09,2025-12-23,Phạm Thị Nhung,s,https://www.chotot.com/121692909.htm
🏢 BÁN CĂN HỘ CONIC BOULEVARD – BÌNH CHÁNH|GIÁ TỐT– Sổ Hồng - Ở NgayAY,3050000000,"3,05 tỷ",36.17177,84.3199,,,2.0,6,,2,,Đường Huỳnh Bá Chánh,Xã Tân Kiên,Huyện Bình Chánh,Tp Hồ Chí Minh,10.716207,106.58481,14.26,2025-12-23,Viehomes Realty,s,https://www.chotot.com/129744001.htm
Căn Hộ Rộng Rãi – Thiết Kế 2PN với 92m2  -Dành Riêng cho GĐ -Giá Chuẩn,5300000000,"5,3 tỷ",57.608696,92.0,,,3.0,5,The Pegasuite,2,1.0,Tạ Quang Bửu,Phường 6,Quận 8,Tp Hồ Chí Minh,10.73175,106.64951,7.4,2025-12-23,Nhi Nhi,s,https://www.chotot.com/129863098.htm
"Bán Nhanh Căn Hộ 2PN Khu Rainbow - Vinhomes Grand Park - 2,7 Tỷ",2800000000,"2,8 tỷ",47.457626,59.0,,,1.0,6,Vinhomes Grand Park,2,1.0,Nguyễn Xiển,Phường Long Thạnh Mỹ (Quận 9 cũ),Thành phố Thủ Đức,Tp Hồ Chí Minh,10.8454,106.81972,15.16,2025-12-23,Tuấn Vinhomes,s,https://www.chotot.com/125684897.htm
Bán căn góc 2PN 2WC 71m2 full nội thất đã có sổ hồng giá 4 tỷ7,4700000000,"4,7 tỷ",66.19718,71.0,3.0,4.0,,6,Mizuki Park,2,2.0,Nguyễn Văn Linh,Xã Bình Hưng,Huyện Bình Chánh,Tp Hồ Chí Minh,10.72615,106.66785,6.56,2025-12-23,Ngoc Han,s,https://www.chotot.com/129863055.htm
"BÁN CĂN HỘ TẦNG 2 , NGUYỄN VĂN GIAI, P ĐAKAO, Q1, 88,33M2, GIÁ 7,6 TỶ",7600000000,"7,6 tỷ",86.040985,88.33,,,2.0,6,,3,1.0,Đường Nguyễn Văn Giai,Phường Đa Kao,Quận 1,Tp Hồ Chí Minh,10.791025,106.69702,1.75,2025-12-23,Hồ Văn Dũng,s,https://www.chotot.com/129863016.htm
"Căn Hộ Pegasuite 3PN Hạng Sang – Gần Trường Học, Quán ăn...Sẵn Sổ Hồng",6150000000,"6,15 tỷ",64.73684,95.0,,,1.0,6,The Pegasuite,3,2.0,Tạ Quang Bửu,Phường 6,Quận 8,Tp Hồ Chí Minh,10.73175,106.64951,7.4,2025-12-23,Nhi Nhi,s,https://www.chotot.com/129862987.htm
bán căn 2pn2wc hạ giá,3250000000,"3,25 tỷ",48.50746,67.0,,,2.0,5,Vinhomes Grand Park,2,2.0,Nguyễn Xiển,Phường Long Thạnh Mỹ (Quận 9 cũ),Thành phố Thủ Đức,Tp Hồ Chí Minh,10.8454,106.81972,15.16,2025-12-23,Trần Thị Dương,s,https://www.chotot.com/129862835.htm
"Bán căn hộ Saigonland, 3PN, 2wc ban công, nội thất, căn góc, sổ hồng",5600000000,"5,6 tỷ",62.22222,90.0,,,,6,Saigonland Apartment,3,2.0,D2,Phường 25,Quận Bình Thạnh,Tp Hồ Chí Minh,10.80602,106.71604,3.78,2025-12-23,HANG,s,https://www.chotot.com/123751381.htm
Bán  Căn hộ Block B2  1PN  Era Town ĐỨC KHẢI TẦNG TRUNG I,2580000000,"2,58 tỷ",45.263157,57.0,,1.0,2.0,5,,1,1.0,Đường Số 15,Phường Phú Mỹ,Quận 7,Tp Hồ Chí Minh,10.712223,106.73195,7.85,2025-12-23,truong huy,s,https://www.chotot.com/129862535.htm
BÁN CĂN HỘ FLORA ANH ĐÀO GIÁ TỐT,2850000000,"2,85 tỷ",51.81818,55.0,5.0,8.0,3.0,6,Flora Anh Đào,1,1.0,Đỗ Xuân Hợp,Phường Phước Long B (Quận 9 cũ),Thành phố Thủ Đức,Tp Hồ Chí Minh,10.81635,106.77439,9.26,2025-12-23,Ngô Đức Nghị,s,https://www.chotot.com/129862464.htm
Căn hộ 1 phòng ngủ 50m2 đầy đủ nội thất SHR Icon56,5400000000,"5,4 tỷ",108.0,50.0,,,2.0,6,Icon 56,1,1.0,Bến Vân Đồn,Phường 13,Quận 4,Tp Hồ Chí Minh,10.76599,106.70242,1.1,2025-12-23,Căn hộ giá tốt Quận 4,s,https://www.chotot.com/129862465.htm
"Bán căn hộ 2PN, 2WC, 74.6m2, tại Cao ốc An Phú, Đ. Song Hành, quận 2",4600000000,"4,6 tỷ",61.66228,74.5999,,,,6,,2,2.0,Đường Song Hành,Phường An Phú (Quận 2 cũ),Thành phố Thủ Đức,Tp Hồ Chí Minh,10.800222,106.73834,4.96,2025-12-23,Hoài Hân,s,https://www.chotot.com/129815081.htm
HOT! Bán căn hộ Summer Q6 2PN 2WC nhà đẹp - Sổ hồng sẵn,3350000000,"3,35 tỷ",54.918034,61.0,,,,6,Summer Square,2,2.0,Tân Hòa Đông,Phường 14,Quận 6,Tp Hồ Chí Minh,10.75934,106.62583,8.35,2025-12-23,BĐS CĂN HỘ CHUNG CƯ GIÁ RẺ ,s,https://www.chotot.com/129176956.htm
"🔰Bán chung cư gần Đầm Sen 2PN 3PN 2WC giá tốt - Sổ hồng sẵn,vay NH",3000000000,3 tỷ,49.18033,61.0,,,2.0,6,Hoàng Kim Thế Gia (The Golden Dynasty),2,2.0,"Đường Trương Phước Phan, Phường Bình Trị Đông, Bình Tân, Hồ Chí Minh",Phường Bình Trị Đông,Quận Bình Tân,Tp Hồ Chí Minh,10.76688,106.61289,9.61,2025-12-23,BĐS CĂN HỘ CHUNG CƯ GIÁ RẺ ,s,https://www.chotot.com/119520438.htm
"Bán Sunshine Sky City 4 Phòng Ngủ 3WC 132M2 Giá 8,8 Tỷ",8800000000,"8,8 tỷ",66.666664,132.0,,,,5,Sunshine Sky City,2,,7,Phường Tân Phú,Quận 7,Tp Hồ Chí Minh,10.72619,106.7246,6.1,2025-12-23,Trương Đạt,s,https://www.chotot.com/129731281.htm
